City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ostrovnoy,68.0531,39.5131,10.18,97,82,7.09,RU,1649899677
Nikel,69.4128,30.222,21.38,99,100,2.8,RU,1649899677
Tasiilaq,65.6145,-37.6368,28.56,83,100,6.29,GL,1649899677
Mugma,23.7667,86.7333,82.81,60,9,4.09,IN,1649899678
Bambous Virieux,-20.3428,57.7575,78.22,88,75,14.97,MU,1649899678
Neftçala,39.3742,49.2472,48.15,54,2,17.13,AZ,1649899678
Japura,-0.3167,102.35,76.12,96,99,1.9,ID,1649899679
Pangai,-19.8,-174.35,86.11,66,20,6.91,TO,1649899679
Verkhnyaya Inta,65.9811,60.3094,32.4,94,100,6.4,RU,1649899679
Grand Gaube,-20.0064,57.6608,78.39,83,29,7.0,MU,1649899680
Saint George,37.1041,-113.5841,62.44,8,0,17.27,US,1649899511
Rocky Mountain House,52.3668,-114.9188,24.91,42,100,4.61,CA,1649899680
Barrow,71.2906,-156.7887,-0.38,78,0,10.36,US,1649899680
Souillac,-20.5167,57.5167,77.38,88,75,14.97,MU,1649899681
Hearst,49.6835,-83.6665,35.85,88,60,12.44,CA,1649899681
Matagami,49.7502,-77.6328,35.71,64,0,6.91,CA,1649899681
Hokitika,-42.7167,170.9667,60.39,56,2,4.12,NZ,1649899682
Kununurra,-15.7667,128.7333,84.18,79,93,6.91,AU,1649899682
Nortelândia,-14.4547,-56.8028,75.2,89,16,1.57,BR,1649899682
Sola,-13.8833,167.55,82.87,73,25,12.77,VU,1649899567
Talavera de la Reina,39.9635,-4.8308,49.86,76,6,5.39,ES,1649899683
Avera,33.194,-82.5271,71.55,67,100,6.82,US,1649899683
Saint-Philippe,-21.3585,55.7679,73.22,89,52,14.0,RE,1649899641
Taoudenni,22.6783,-3.9836,80.08,14,0,10.42,ML,1649899684
Santa Cruz de Tenerife,28.4682,-16.2546,68.65,84,100,19.57,ES,1649899684
Vila Franca do Campo,37.7167,-25.4333,61.21,84,6,7.96,PT,1649899685
Arraial do Cabo,-22.9661,-42.0278,76.96,90,90,7.7,BR,1649899556
Saint Paul Harbor,57.79,-152.4072,45.91,46,0,13.8,US,1649899685
Inírida,3.8653,-67.9239,77.23,89,100,2.84,CO,1649899686
Mana,5.6592,-53.7767,76.69,87,35,10.63,GF,1649899686
Nizhniy Kuranakh,58.8353,125.4869,31.78,80,100,11.99,RU,1649899686
Kabare,-2.4683,28.8242,61.03,92,90,0.72,CD,1649899687
Kruisfontein,-34.0033,24.7314,57.88,83,24,7.96,ZA,1649899687
Broome,42.2506,-75.833,66.58,68,40,6.91,US,1649899687
Plouzané,48.3833,-4.6167,50.05,100,100,4.61,FR,1649899688
Oodweyne,9.4092,45.064,76.32,52,100,11.56,SO,1649899688
Sitka,57.0531,-135.33,44.49,18,0,10.36,US,1649899688
Aksarka,66.5606,67.7975,33.22,100,100,3.62,RU,1649899689
Patea,-39.7583,174.4833,60.3,56,0,8.52,NZ,1649899689
Pantai Remis,4.4557,100.6288,80.62,82,100,3.6,MY,1649899690
Saldanha,-33.0117,17.9442,62.02,89,100,19.77,ZA,1649899690
Burnie,-41.0667,145.9167,65.91,64,100,7.99,AU,1649899690
Aswān,24.0934,32.907,67.3,27,0,9.22,EG,1649899691
Surgut,61.25,73.4167,39.38,48,20,4.47,RU,1649899691
Marabu,4.4148,114.0089,84.34,79,20,2.3,MY,1649899691
Zeya,53.75,127.2667,36.36,25,65,5.21,RU,1649899692
Östersund,63.1792,14.6357,32.45,74,100,5.75,SE,1649899692
Seoul,37.5683,126.9778,54.84,62,100,18.41,KR,1649899253
Amahai,-3.3333,128.9167,84.61,67,51,0.54,ID,1649899692
Avilés,43.5547,-5.9248,55.38,89,0,0.0,ES,1649899514
Soyo,-6.1349,12.3689,77.83,88,91,2.8,AO,1649899693
Qaanaaq,77.484,-69.3632,-2.07,93,100,5.99,GL,1649899627
Inhambane,-23.865,35.3833,75.78,91,42,10.4,MZ,1649899694
San Quintín,30.4833,-115.95,61.9,57,4,17.9,MX,1649899694
Porto Murtinho,-21.6989,-57.8825,75.72,72,100,9.64,BR,1649899694
Obodivka,48.4051,29.2477,41.88,87,100,11.34,UA,1649899695
Bow Island,49.8668,-111.3684,21.47,86,100,5.75,CA,1649899398
Narsaq,60.9167,-46.05,48.42,60,100,6.51,GL,1649899695
Petropavlovsk-Kamchatskiy,53.0452,158.6483,37.99,45,75,13.42,RU,1649899521
Corumbá,-19.0092,-57.6533,72.82,99,100,4.16,BR,1649899696
Qaqortoq,60.7167,-46.0333,37.18,62,100,4.7,GL,1649899668
Gazli,40.1333,63.45,67.1,45,8,12.66,UZ,1649899696
Anadyr,64.75,177.4833,28.9,86,40,31.32,RU,1649899685
Sioux Lookout,50.1001,-91.917,28.47,93,100,8.05,CA,1649899661
Cortez,37.3489,-108.5859,43.56,15,0,20.71,US,1649899697
Carutapera,-1.195,-46.02,76.77,93,100,5.91,BR,1649899697
Lieksa,63.3167,30.0167,29.14,92,100,3.4,FI,1649899697
Koumac,-20.5667,164.2833,80.85,62,4,4.36,NC,1649899698
Nushki,29.5542,66.0215,64.85,13,0,2.19,PK,1649899698
Pacific Grove,36.6177,-121.9166,60.03,66,0,11.5,US,1649899531
Micheweni,-4.9667,39.8333,78.33,86,85,5.28,TZ,1649899698
Torbay,47.6666,-52.7314,33.58,92,100,18.41,CA,1649899490
Andenes,69.3143,16.1194,31.98,93,100,5.75,NO,1649899699
Ligayan,4.6533,119.4706,81.9,73,100,0.74,PH,1649899699
Goderich,43.7501,-81.7165,61.12,88,100,17.27,CA,1649899700
Jamestown,42.097,-79.2353,66.18,56,100,4.61,US,1649899650
Emporia,38.4039,-96.1817,48.4,31,0,10.36,US,1649899700
Peniche,39.3558,-9.3811,57.11,86,100,14.65,PT,1649899700
Acará,-1.9608,-48.1967,74.07,99,100,1.74,BR,1649899701
Hirara,24.8,125.2833,78.66,83,40,4.61,JP,1649899701
Dingle,10.9995,122.6711,81.36,75,100,2.89,PH,1649899680
Tacoronte,28.4769,-16.4102,62.19,86,100,23.0,ES,1649899701
Ugoofaaru,5.6667,73.0,83.82,74,100,10.25,MV,1649899495
Quaraí,-30.3875,-56.4514,52.75,62,0,8.61,BR,1649899702
Merauke,-8.4667,140.3333,85.96,69,82,2.17,ID,1649899702
Bluff,-46.6,168.3333,60.8,77,79,19.35,NZ,1649899702
Lüderitz,-26.6481,15.1594,60.42,83,6,10.09,NA,1649899703
Wembley,-31.9333,115.8,69.21,67,0,18.41,AU,1649899703
Ponta do Sol,32.6667,-17.1,63.72,82,99,2.91,PT,1649899703
Chokurdakh,70.6333,147.9167,2.89,87,6,3.96,RU,1649899704
Tuktoyaktuk,69.4541,-133.0374,1.4,71,40,12.66,CA,1649899704
Bulgan,48.8125,103.5347,23.14,81,100,5.32,MN,1649899704
Kočevje,45.6433,14.8633,41.58,92,15,1.23,SI,1649899705
Rundu,-17.9333,19.7667,67.75,73,100,4.09,NA,1649899705
Qui Nhon,13.7667,109.2333,79.57,80,95,1.81,VN,1649899687
Moerai,-22.4333,-151.3333,80.71,76,100,16.96,PF,1649899706
Pisco,-13.7,-76.2167,66.02,82,0,8.05,PE,1649899706
Korla,41.7597,86.1469,57.49,26,9,1.72,CN,1649899707
Banda Aceh,5.5577,95.3222,82.2,76,100,5.28,ID,1649899707
Fallon,39.4735,-118.7774,53.47,20,100,17.27,US,1649899707
Civita Castellana,42.2952,12.4092,54.88,75,100,2.89,IT,1649899708
Gävle,60.6745,17.1417,38.35,69,100,1.01,SE,1649899708
Olinda,-8.0089,-34.8553,82.13,69,0,4.61,BR,1649899708
Dunda,-8.1167,34.25,61.9,98,100,1.79,TZ,1649899708
Miramar,25.9873,-80.2323,78.03,76,0,13.8,US,1649899709
Yokaichi,35.1139,136.2037,68.14,77,100,1.9,JP,1649899709
Sabha,27.0377,14.4283,78.93,10,4,5.95,LY,1649899709
Karasjok,69.4719,25.5112,25.5,94,100,2.82,NO,1649899710
Lebu,-37.6167,-73.65,52.21,89,0,16.28,CL,1649899589
Autazes,-3.5797,-59.1306,75.42,97,100,2.68,BR,1649899710
Severo-Kuril'sk,50.6789,156.125,30.45,78,96,26.64,RU,1649899710
Bulungu,-4.55,18.6,70.95,95,100,2.73,CD,1649899711
Kasungu,-13.0333,33.4833,63.43,98,17,3.78,MW,1649899711
Bela,25.9333,81.9833,85.41,17,38,5.08,IN,1649899711
Bentiu,9.2333,29.8333,83.14,52,44,3.83,SS,1649899712
Leningradskiy,69.3833,178.4167,6.28,91,90,14.38,RU,1649899627
Graciano Sánchez,23.9167,-99.2833,95.95,13,4,8.28,MX,1649899712
Havelock,34.8791,-76.9013,71.02,84,0,13.8,US,1649899712
Dvinskoy Bereznik,62.8551,42.7072,25.52,96,66,5.79,RU,1649899713
Bandundu Province,-3.3167,17.3667,72.77,90,100,2.06,CD,1649899713
Arrondissement de Rochefort,45.9167,-1.0,51.85,92,100,2.82,FR,1649899713
Kamenka,51.3223,42.7678,48.94,92,100,13.85,RU,1649899714
Aksarayskiy,46.7924,48.0119,47.52,60,100,5.28,RU,1649899714
Jaguaruna,-28.615,-49.0256,68.07,88,100,5.84,BR,1649899714
Mandāwar,29.5,78.1333,77.83,18,7,2.33,IN,1649899715
Minudasht,37.2289,55.3747,53.92,93,64,5.5,IR,1649899715
Jaru,-10.4389,-62.4664,74.93,92,62,1.45,BR,1649899527
Rocha,-34.4833,-54.3333,50.0,78,0,5.19,UY,1649899715
Provideniya,64.3833,-173.3,30.36,86,100,15.99,RU,1649899716
Ceres,37.5949,-120.9577,62.8,40,20,10.36,US,1649899716
Northam,51.0333,-4.2167,46.38,95,8,4.74,GB,1649899716
Miyako,39.6367,141.9525,40.95,87,100,5.95,JP,1649899716
Tiznit Province,29.5833,-9.5,59.45,64,0,2.17,MA,1649899717
San Juan,-31.5375,-68.5364,69.22,37,13,12.44,AR,1649899510
Ancud,-41.8697,-73.8203,52.23,91,33,3.49,CL,1649899717
Solnechnyy,50.7214,136.6319,32.56,75,100,0.54,RU,1649899718
Pontianak,-0.0333,109.3333,82.38,83,20,3.44,ID,1649899709
Arona,28.0996,-16.681,59.83,70,75,18.41,ES,1649899718
Khandyga,62.6667,135.6,24.78,87,93,3.87,RU,1649899718
Lubango,-14.9172,13.4925,56.35,90,9,3.44,AO,1649899718
Tiksi,71.6872,128.8694,-0.81,96,100,6.44,RU,1649899719
Esperance,-33.8667,121.9,64.24,76,97,15.77,AU,1649899719
Takhatgarh,25.3333,73.0,76.06,34,0,5.28,IN,1649899719
Pemangkat,1.1667,108.9667,81.55,78,83,4.81,ID,1649899720
Strathblane,55.986,-4.3066,49.6,89,98,3.44,GB,1649899720
Sungai Raya,0.7,108.9,82.83,76,99,3.98,ID,1649899721
Cidreira,-30.1811,-50.2056,68.14,72,100,7.96,BR,1649899722
Katsuura,35.1333,140.3,58.17,88,100,23.02,JP,1649899722
Geraldton,-28.7667,114.6,68.41,77,40,9.22,AU,1649899722
Cayenne,4.9333,-52.3333,81.09,1,75,8.01,GF,1649899723
Sakaiminato,35.55,133.2333,57.18,94,75,14.97,JP,1649899723
Nachingwea,-10.3833,38.7667,69.03,99,97,3.04,TZ,1649899723
Bogorodskoye,56.55,37.8833,31.42,94,81,9.53,RU,1649899724
Torit,4.4133,32.5678,75.43,63,93,3.24,SS,1649899724
Laas,46.6166,10.7002,49.08,85,92,1.3,IT,1649899724
Maningrida,-12.0667,134.2667,86.88,66,13,9.26,AU,1649899725
Tuatapere,-46.1333,167.6833,61.0,56,61,2.01,NZ,1649899651
Ilulissat,69.2167,-51.1,19.42,79,75,13.8,GL,1649899725
Mogadishu,2.0371,45.3438,81.88,77,50,8.43,SO,1649899725
Iquitos,-3.7481,-73.2472,77.04,100,75,3.44,PE,1649899726
Chengdu,30.6667,104.0667,62.49,88,75,4.47,CN,1649899726
Coyhaique,-45.5752,-72.0662,51.75,71,0,4.61,CL,1649899579
Kars,40.602,43.095,9.05,92,42,0.0,TR,1649899726
Oddur,4.1213,43.8894,73.99,86,45,13.09,SO,1649899727
Nālūt,30.3333,10.85,75.34,11,100,10.85,LY,1649899727
Chase,50.8165,-119.6857,44.78,47,97,6.33,CA,1649899521
Turki,51.987,43.2731,48.04,89,100,14.63,RU,1649899727
Darien,41.752,-87.974,53.11,92,100,17.27,US,1649899728
Matara,5.9485,80.5353,77.95,88,97,3.91,LK,1649899728
Salalah,17.0151,54.0924,80.69,74,75,3.44,OM,1649899728
Sīrjān,29.452,55.6814,59.54,36,12,2.84,IR,1649899729
Durant,33.994,-96.3708,62.76,40,0,11.5,US,1649899729
Nabire,-3.3667,135.4833,84.88,71,29,1.54,ID,1649899729
Calama,-22.4667,-68.9333,52.29,19,0,9.22,CL,1649899447
Talnakh,69.4865,88.3972,29.21,96,100,5.66,RU,1649899730
Bilma,18.6853,12.9164,84.04,8,97,7.27,NE,1649899730
Smidovich,48.6,133.8167,38.48,65,100,12.48,RU,1649899730
Arman',59.7,150.1667,30.02,57,100,6.64,RU,1649899731
Bereda,43.2686,-7.5406,47.57,100,100,0.72,ES,1649899731
Jacksonville Beach,30.2947,-81.3931,74.05,77,75,16.11,US,1649899675
Ribeira Grande,38.5167,-28.7,59.52,59,0,14.16,PT,1649899731
Maner,25.65,84.8833,80.51,35,43,1.86,IN,1649899732
Faya,18.3851,42.4509,62.71,40,5,1.43,SA,1649899732
Colares,38.7992,-9.4469,57.29,75,100,23.0,PT,1649899732
Tagusao,9.1924,117.8141,82.22,75,100,6.53,PH,1649899733
Lyuban',52.7985,28.0048,38.16,71,38,5.1,BY,1649899733
Sochi,43.6,39.7303,44.1,86,100,14.85,RU,1649899733
Adeje,28.1227,-16.726,64.02,70,75,18.41,ES,1649899734
Toguchin,55.2353,84.3858,33.89,69,5,4.97,RU,1649899734
Deputatsky,69.3,139.9,2.46,94,100,4.12,RU,1649899705
Igboho,8.8333,3.75,74.28,87,99,7.18,NG,1649899734
Bariloche,-41.1456,-71.3082,44.35,53,0,4.61,AR,1649899735
Shuangyang,43.5242,125.6736,53.29,28,87,9.13,CN,1649899735
Carnarvon,-24.8667,113.6333,77.07,50,0,18.41,AU,1649899735
Lagoa,39.05,-27.9833,58.28,64,0,19.26,PT,1649899494
San Cristobal,7.7669,-72.225,77.18,69,97,2.01,VE,1649899736
Shimoda,34.6667,138.95,57.56,82,99,19.64,JP,1649899736
Panara,22.0667,78.55,81.19,37,93,5.53,IN,1649899736
Vardø,70.3705,31.1107,29.79,81,86,7.92,NO,1649899694
Gamba,-2.65,10.0,76.98,90,100,1.83,GA,1649899737
Port Elizabeth,-33.918,25.5701,64.31,93,40,18.01,ZA,1649899737
Akdepe,42.0551,59.3788,64.49,35,8,14.67,TM,1649899737
San Jose,37.3394,-121.895,60.31,50,75,14.97,US,1649899708
Daru,-9.0763,143.2092,84.79,72,100,6.17,PG,1649899738
Grindavik,63.8424,-22.4338,45.07,87,100,24.16,IS,1649899646
Saint-François,46.4154,3.9054,50.41,94,100,2.3,FR,1649899738
Saint Anthony,45.0205,-93.218,37.92,56,20,13.8,US,1649899738
Mastic Beach,40.7668,-72.8521,60.71,84,0,6.91,US,1649899739
Pandharpur,17.6667,75.3333,89.69,30,100,1.52,IN,1649899509
Sundsvall,62.3913,17.3063,31.96,93,20,3.44,SE,1649899739
Vila Velha,-20.3297,-40.2925,80.55,86,0,5.75,BR,1649899500
Mizdah,31.4451,12.9801,64.2,35,100,14.81,LY,1649899739
Nchelenge,-9.3451,28.734,67.93,91,77,5.66,ZM,1649899740
Vanino,49.0869,140.2543,35.92,63,11,3.58,RU,1649899740
Krefeld,51.3333,6.5667,55.99,93,100,2.3,DE,1649899740
Bang Mun Nak,16.0278,100.3792,89.98,100,30,6.06,TH,1649899741
Eldorado,-23.7869,-54.2836,67.57,97,30,4.92,BR,1649899741
Kommunar,59.6206,30.39,36.36,90,95,2.89,RU,1649899741
Hithadhoo,-0.6,73.0833,83.75,73,100,9.8,MV,1649899742
Los Llanos de Aridane,28.6585,-17.9182,60.55,95,40,18.41,ES,1649899670
Makar'yev,57.8797,43.8069,35.62,88,100,11.54,RU,1649899742
Potiskum,11.7091,11.0694,84.47,44,100,9.89,NG,1649899743
Barra de Tecoanapa,16.5167,-98.75,81.05,71,99,6.64,MX,1649899743
Ilmajoki,62.7333,22.5667,36.21,55,0,4.61,FI,1649899743
Batagay-Alyta,67.8006,130.4114,4.24,88,99,3.0,RU,1649899744
Soanierana Ivongo,-16.9167,49.5833,73.47,92,60,5.39,MG,1649899744
Fershampenuaz,53.5202,59.8117,46.63,88,11,5.64,RU,1649899745
Flinders,-34.5833,150.8552,73.18,72,0,4.0,AU,1649899745
Shizunai-furukawachō,42.3339,142.3669,38.05,84,100,11.07,JP,1649899746
Nome,64.5011,-165.4064,36.16,75,100,9.22,US,1649899746
Buala,-8.145,159.5921,85.35,68,33,8.66,SB,1649899747
Lazarev,52.225,141.5131,28.99,78,9,8.86,RU,1649899747
Kiryat Gat,31.61,34.7642,56.39,71,0,4.97,IL,1649899747
Assiut,27.181,31.1837,51.98,41,0,12.53,EG,1649899705
Kaiyuan,23.6977,103.3037,69.76,66,94,8.14,CN,1649899748
Villamartín,36.8598,-5.6449,55.35,80,3,1.12,ES,1649899748
Tongchuanshi,35.0806,109.0897,47.01,82,100,13.56,CN,1649899748
Lensk,60.7253,114.9278,32.54,94,100,14.94,RU,1649899749
Jijiga,9.35,42.8,67.51,62,85,0.25,ET,1649899749
Matamoros,25.5333,-103.25,86.11,5,20,10.36,MX,1649899750
Am Timan,11.0297,20.2827,85.93,48,100,7.61,TD,1649899750
Vitim,59.4511,112.5578,32.09,95,100,15.9,RU,1649899750
Clifton,40.8584,-74.1638,70.39,71,0,5.75,US,1649899507
Neryungri,56.6709,124.6491,28.67,71,100,10.22,RU,1649899751
Codrington,-38.2667,141.9667,71.62,36,100,11.21,AU,1649899751
Maceió,-9.6658,-35.7353,76.44,88,0,3.44,BR,1649899559
Puerto Colombia,10.9878,-74.9547,80.69,86,30,25.01,CO,1649899752
Bandarbeyla,9.4942,50.8122,78.96,84,13,1.97,SO,1649899506
Amuntai,-2.4177,115.2494,82.99,76,99,0.63,ID,1649899752
San Antonio,29.4241,-98.4936,87.06,18,0,10.36,US,1649899592
Biak,-0.9131,122.8766,82.26,69,97,4.36,ID,1649899753
Ayan,56.45,138.1667,31.46,64,19,11.65,RU,1649899753
Kolokani,13.5728,-8.0339,87.33,13,94,6.08,ML,1649899755
Dukat,62.55,155.55,10.18,84,100,6.15,RU,1649899755
Fairbanks,64.8378,-147.7164,44.24,37,75,1.99,US,1649899683
Radomsko,51.0671,19.4448,42.19,63,100,9.04,PL,1649899755
Umm Kaddadah,13.6017,26.6876,78.53,12,32,17.43,SD,1649899756
Ishigaki,24.3448,124.1572,78.93,83,75,5.75,JP,1649899756
Bathsheba,13.2167,-59.5167,79.41,69,40,17.27,BB,1649899756
Pierre,44.3683,-100.351,27.86,58,100,39.12,US,1649899757
Zhaotong,27.3167,103.7167,56.16,87,100,6.89,CN,1649899757
Sassandra,4.95,-6.0833,78.26,83,100,8.59,CI,1649899757
Santa Rosa,14.3122,121.1114,88.09,64,75,3.87,PH,1649899758
Te Anau,-45.4167,167.7167,59.54,53,17,0.4,NZ,1649899758
Gravdal,68.1214,13.5031,35.73,77,22,7.16,NO,1649899758
Luganville,-15.5333,167.1667,85.05,68,23,7.61,VU,1649899759
Yulara,-25.2406,130.9889,87.64,20,87,6.91,AU,1649899747
Maiduguri,11.8464,13.1603,83.95,44,57,8.03,NG,1649899759
Mount Gambier,-37.8333,140.7667,69.71,40,100,11.5,AU,1649899759
Dagda,56.0951,27.5372,36.19,71,87,1.99,LV,1649899760
Eilat,29.5581,34.9482,62.44,51,0,11.5,IL,1649899647
Sharkan,57.2989,53.8712,36.84,97,100,2.82,RU,1649899760
Buraidah,26.326,43.975,75.65,26,100,3.69,SA,1649899761
São João da Barra,-21.6403,-41.0511,77.68,89,100,6.76,BR,1649899761
Fukuechō,32.6881,128.8419,59.36,100,75,20.71,JP,1649899650
Itarema,-2.9248,-39.9167,77.58,86,83,6.73,BR,1649899761
